id,short_name,funnel_name,category,lead_unit,funnel_role,ticket_min_eur,ticket_max_eur,cpl_min_usd,cpl_max_usd,cac_min_usd,cac_max_usd,lead_minutes_min,lead_minutes_max,conv_pct_min,conv_pct_max,call_hours_min,call_hours_max,total_hours_per_sale_min,total_hours_per_sale_max,setup_hours_min,setup_hours_max,ramp_weeks,ramp_floor_pct,saturation_cap_per_month,confidence,requires_paid_budget,requires_existing_audience,requires_content_capability,requires_long_form_content,fits_low_ticket,fits_mid_ticket,fits_high_ticket,works_for_t2c_launch,is_counter_example,is_new,is_activation_only,is_multiplier,req_video,req_podcast,req_prospection,req_writing,min_pub_budget_eur,min_hours_week,fits_subscription,fits_programme,sources,notes,steps
11,IG-ManyChat-LT,IG Ads + ManyChat Auto-DM (low-ticket),paid,follower acquired,full,20,297,0.2,0.4,40,267,2,5,0.15,0.5,0.5,1,7.17,56.56,8,20,4,30,50,high,True,True,False,False,True,False,False,False,True,False,False,False,peu,non,non,non,100,3,True,False,L.C./CommuniPass/Idiomatic@,⚠️ CONTRE-EXEMPLE à $54/h (Lucas: 0 vente/100h/$300-400). MAIS marche à €47–297: CommuniPass case 847 comments→64 enrollments. Modèle argentin $29/mo. Ticket plafond absolu €300. INAPPLICABLE T2C €1500+.,⚠️ Ticket max €300 — inefficace au-delà. Pas pour un programme premium. | Optimiser le profil IG (bio : qui tu aides + résultat + offre) | Créer un contenu régulier sur l'apprentissage des langues | Configurer ManyChat : réponse automatique sur commentaire avec mot-clé | Créer un abonnement ou mini-cours à <€100/mois | Lancer une campagne IG Ads CTA 'commenter le mot X' | Qualifier les conversations auto-déclenchées → vendre l'abonnement en DM
12,LinkedIn-SalesNav,LinkedIn DM Séquencé (Sales Navigator + déclencheur job change),organic,connection request envoyée,full,800,3000,0,0,0,0,8,40,1.5,4.0,0.5,1.5,3.72,28.2,5,15,4,30,8,medium,False,False,False,False,False,True,True,True,False,True,False,False,non,non,oui,peu,0,5,False,True,Expandi H1 2026/Cleverly/Leadhaste/Prospeo,Expandi 2026: 29.61% acceptance. Trigger 'changed jobs': 18% response vs 3.43% cold = 5x. Win rate known contact: 37% vs 19% cold. Limite: 80–100 req/sem. Sales Nav $110/mo = outil (pas ad spend). +142% reply avec personnalisation profonde (Leadhaste).,"Optimiser le profil LinkedIn (titre = résultat client, section À propos = CTA) | Souscrire à Sales Navigator (~110 €/mois) | Configurer l'alerte 'changed jobs' sur l'audience cible | Rédiger 3 séquences de messages : connexion → remerciement → valeur → appel | Envoyer 15–20 demandes de connexion ciblées/jour (max 80–100/semaine) | Envoyer le message 1 dans les 24h suivant chaque acceptation | Personnaliser chaque échange selon le profil et les publications de la personne | Proposer un appel de 15 min aux répondants qualifiés | Envoyer un Loom si pas de réponse après 5 jours (voir Loom-VoiceDM) | Suivre taux d'acceptation (>25%) et taux de réponse (>10%)"
13,Cold-Email,Cold Email Multi-touch B2C (coaching/formation),organic,email envoyé (liste ciblée),full,500,2500,0,0,0,0,8,25,0.5,3.0,0.5,1.5,4.94,84.8,8,20,3,50,5,medium,False,False,False,False,False,True,False,True,False,True,False,False,non,non,oui,oui,0,5,False,True,Instantly 2026/Woodpecker/Leadhaste/Sopro,Instantly 2026: 3.43% reply moyen; top 10.7%. Woodpecker: 17% personnalisé vs 7% non-perso. Séquence 4–7 emails: 27% reply. Ciblage <200 destinataires: 5.8% vs 2.1% pour listes 1000+. Full funnel B2C coaching: 500 emails → <1 vente top performer 3%.,"Constituer une liste ultra-ciblée (<200 adresses — qualité > quantité) | Vérifier les emails (Hunter.io, NeverBounce) et nettoyer la liste | Configurer un domaine secondaire d'envoi (protéger le domaine principal) | Chauffer le domaine 2–3 semaines (Instantly, Lemwarm) | Écrire l'email 1 : accroche hyper-personnalisée + une question ouverte | Préparer 3–4 relances espacées de 3–4 jours (valeur à chaque fois) | Envoyer en petits batches (20–30/jour max) pour la délivrabilité | Suivre taux d'ouverture (>40%) et de réponse (>3%) | Traiter chaque réponse manuellement → qualifier → booker un appel | Ajuster le copywriting si résultats sous les seuils après 200 emails"
14,IG-DM-Manuel,Instagram DM Manuel Ciblé (non automatisé),organic,DM envoyé (ciblage manuel hashtag/géo),full,200,1500,0,0,0,0,5,20,1.5,4.0,0.5,1.5,2.58,23.7,2,5,3,50,8,high,False,False,False,False,True,True,False,False,False,True,False,False,non,non,oui,non,0,5,True,True,CommuniPass/Napolify/DMtracker,CommuniPass: cold 5–12% reply; triggered 25–40%. High-ticket ($1000+) DM thread → vente: 4–8%. End-to-end depuis DM envoyé: 1.5–4%. Volume safe: <80 DMs/jour. Réponse <1 min = +391% conv. Cap ticket ~€1500. ≠ IG-ManyChat-LT (automatisé).,"Identifier les hashtags et localisations de l'audience cible | Constituer une liste de 30–50 profils qualifiés par semaine (engagement actif) | Interagir avant le DM : liker, commenter de façon authentique pendant 24–48h | Envoyer le DM : référence spécifique + valeur + question ouverte (pas de pitch) | Entretenir la conversation 2–3 échanges avant de qualifier les besoins | Qualifier : objectifs, contexte, freins → fit avec l'offre ? | Proposer un appel de découverte si fit détecté | Répondre à tous les messages entrants en <1 minute (crucial) | Volume : <80 DMs/jour pour éviter les restrictions Instagram"
15,Loom-VoiceDM,Loom / Voice DM Personnalisé (séquence warm),organic,Loom envoyé à prospect chaud,multiplier,800,5000,0,0,0,0,7,20,5.0,15.0,1.0,1.5,1.78,8.17,2,5,2,70,10,medium,False,False,True,False,False,True,True,True,False,True,False,True,peu,non,oui,non,0,3,False,True,Prospeo/SendIQ/Weezly/MessageAR,"MULTIPLICATEUR — s'utilise avec LinkedIn, Cold-Email ou IG-DM, jamais seul. ⚠️ Langues : sans élément visuel fort, privilégier le voice DM WhatsApp audio plutôt que Loom vidéo. Prospeo: 4%→22% text→Loom (5.5x uplift). Permission-first: 15–22% reply. Timeline hook: 10.01% vs problem hook 4.39% (2.3x). Durée optimale 60–90 sec.","Ce funnel est un multiplicateur — combiner avec LinkedIn, Cold-Email ou IG-DM | Identifier les prospects en conversation depuis >3 jours sans progression | Faire 30 sec de recherche sur leur profil pour personnaliser le Loom | Demander la permission : 'OK si je t'envoie une vidéo de 60 sec ?' | Filmer le Loom : accueil par prénom + situation précise + 1 idée concrète + CTA (60–90 sec) | Envoyer avec un message texte simple + lien | Relancer par message audio WhatsApp si pas de vue après 48h | Convertir les réponses positives en appel de découverte"
16,WhatsApp-Broadcast,WhatsApp Business Broadcast (liste opt-in),organic,broadcast message envoyé à liste opt-in,nurturing,97,800,0,0,0,0,3,15,3.0,10.0,0.5,1.0,1.0,9.33,10,25,12,5,15,medium,False,True,False,False,True,True,False,False,False,True,True,False,non,non,non,peu,0,3,True,False,Chatarmin 2026/CommuniPass WA,"⚠️ NURTURING uniquement — pas un canal d'acquisition froide. Chatarmin: open ~80%; CTR boutons 45–60%; reply rate 45–55%; broadcast conv 3–7%. Standard WA: 256 contacts max → API requis pour scale. RGPD opt-in strict EU. Ramp 12 sem = délai construction liste opt-in. À utiliser pour transformer des leads déjà dans le funnel, pas pour acquérir des cold leads.","Construire la liste opt-in (via lead magnet, mini-cours gratuit ou événement) | Configurer WhatsApp Business API (WATI, Chatarmin — RGPD-compliant pour EU) | Segmenter la liste par profil (niveau, objectif, langue apprise) | Créer un calendrier de diffusion : 1–2 broadcasts/semaine maximum | Format : valeur d'abord (80%), offre directe (20%) des messages | Créer des boutons CTA interactifs (répondre, réserver, acheter) | Mettre en place des flows automatisés pour les réponses fréquentes | Suivre taux de réponse (>10%) et opt-outs (<3%) | Pitcher l'offre premium aux segments les plus engagés"
17,Paid-Challenge,Paid Challenge / Trust Bridge (€97–297 → offre premium),hybrid,inscription challenge payant (€97–297),conversion,1500,5000,0,0,0,0,20,60,5.0,12.0,1.0,1.5,3.78,21.5,15,40,8,20,20,high,False,False,True,False,False,True,True,True,False,True,False,False,non,non,non,peu,0,8,False,True,CommuniPass Priya case / Sara case,Priya: 312 inscrits/3 cohortes Q1 2026 → 22 closés à $6800 = $195K. Sara: $32K+/trimestre. Completion paid 70–80% vs 5% free (14x). Close rate graduates: 18–30% vs 2–4% cold. CAC effectif high-ticket ≈ $0 (challenge revenue offsets acquisition). Application à Tom: '7 jours pour débloquer son acquisition' → T2C €1500–2500.,"Définir le thème du challenge : promesse concrète en 5–7 jours | Fixer le prix d'entrée : €97–297 (filtre motivation + compense l'acquisition) | Créer la page de vente du challenge (promesse → plan → bonus → prix) | Créer le groupe privé participants (Telegram, Skool ou WhatsApp) | Préparer le contenu : 1 livrable par jour + 1 live de 30–45 min | Promouvoir via liste email, réseaux sociaux et/ou ads | Viser 20–50 participants pour le premier lancement | Délivrer avec excellence (objectif : 70–80% de complétion) | Faire une offre premium aux diplômés au jour 5 ou 6 | Mener les appels de closing avec les diplômés intéressés"
18,Community-Skool,Community-Led Growth (Skool/Circle — gratuit → challenge → high-ticket),organic,nouveau membre communauté gratuite,conversion,1000,3000,0,0,0,0,8,30,1.5,4.0,1.0,1.5,4.33,34.8,20,60,24,3,8,medium,False,False,True,False,False,True,True,False,False,True,False,False,non,non,non,oui,0,8,True,True,CommuniPass/Skool data/M.B. case,"Skool 2026: free→paid challenge 22–35%. Avec audience 3K+: 30–45 jours rev. Sans: 90–180 jours. M.B. : 314 membres, $199K annualisé. Ramp 6–14 mois vers $5K MRR. Skool: $99/mo.","Définir le positionnement de la communauté (résultat promis aux membres gratuits) | Créer le groupe Skool ou Circle gratuit (~$99/mois) | Créer un 'Quick Win' de bienvenue (valeur immédiate dès l'inscription) | Activer la gamification (points, niveaux, tableau de classement) | Publier du contenu de valeur 3–5 fois/semaine | Animer un live hebdomadaire de 30–60 min (AMA ou masterclass courte) | Atteindre 100 membres actifs avant de monétiser | Lancer un challenge payant interne (€97–297) pour les membres engagés | Pitcher le programme premium aux compléteurs du challenge | Activer un programme de parrainage entre membres"
19,Referral,Referral Programme Structuré (parrainage clients existants),organic,lead référé reçu,conversion,500,3000,0,0,0,0,20,60,30.0,60.0,0.5,1.0,1.06,4.33,3,8,16,5,5,medium,False,True,False,False,False,True,True,False,False,True,False,False,non,non,peu,non,0,2,False,True,GrowSurf/ReferralRock/Nielsen/Extole,GrowSurf: referral 30% mieux que autres canaux. 4x plus probable d'acheter quand référé (Nielsen). Programme structuré = 3x organique. ROI moyen 5.7x (Extole). 83% clients prêts à référer → 29% le font sans programme. Applicable Tom cohorte 2+ seulement.,"Identifier les 5–10 clients actuels avec le NPS le plus élevé | Créer l'offre de parrainage (réduction sur prochain module ou session bonus) | Rédiger le message de demande de référence (naturel, non forcé) | Envoyer le message lors d'un moment fort (victoire client, fin de module) | Créer une landing page dédiée pour les personnes référées | Suivre toutes les références dans un tableau simple | Remercier chaque parrain, même sans conversion (email personnel) | Relancer les clients existants tous les 3 mois"
20,Partenariats,Partenariats Stratégiques (relocateurs / avocats immigration / Alliance Française),organic,lead envoyé par partenaire actif,full,800,3000,0,0,0,0,60,180,20.0,50.0,1.0,1.5,3.0,16.5,5,15,20,5,8,low,False,False,False,False,False,True,True,False,False,True,False,False,non,non,oui,non,0,4,False,True,Global LT/Relocation Today/Partnership Leaders,Global LT = leader tutoring pour expatriés relocation (valide le marché). Commission 20–30% typique. Activation partenariat: 3–6 mois outreach → 1er lead. Confidence LOW — pas de benchmark public pour prof solo.,"Identifier 15–20 partenaires potentiels (relocateurs, avocats immigration, Alliances Françaises) | Créer un one-pager partenaire (problème résolu, résultats clients, modèle de commission) | Pitcher par email personnalisé (2 paragraphes max) | Proposer un appel de 20 min de découverte mutuelle | Formaliser l'accord (commission 15–25%, lien de tracking ou code promo) | Fournir les assets de recommandation (email template, lien de réservation direct) | Activer 2–3 partenaires pilotes et mesurer les leads reçus sur 60 jours | Communiquer les résultats client aux partenaires actifs (renforce la relation)"
21,Webinar-Evergreen,Webinaire Evergreen Automatisé (replay 24/7 → Call),hybrid,inscription webinaire automatisé,full,800,5000,8,20,133,1000,5,12,2,8,1,1.5,1.58,9.7,15,35,10,15,20,medium,False,False,True,True,False,True,True,True,False,True,False,False,oui,non,non,peu,0,5,False,True,AutoGrow #2/Porterfield/EasyWebinar 2026,"Version automatisée du webinaire : tourne 24/7 une fois créé. Enregistrer un live → héberger en replay just-in-time (EasyWebinar, Demio, Webinarjam). Conv 3–8% cold ; warm list 10–15% (Porterfield). Création : investissement une fois (8–12h), puis passif. Ramp 10 sem = optimisation tunnel + chauffage email list. Différenciation vs Meta-Webinar : pas de dépendance aux ads, scalable long terme via liste email.","Choisir le sujet : 1 problème précis + résultat mesurable en titre | Enregistrer un webinaire live (60–90 min) pour capturer l'énergie et les Q&R | Monter et éditer : supprimer les temps morts, conserver les questions importantes | Héberger en mode just-in-time (EasyWebinar, Demio) : prochain replay dans 15 min | Créer la page d'inscription avec urgence et CTA clairs | Rédiger la séquence email : confirmation → J+1 rappel → J+3 replay → J+5 offre → J+7 last call | Configurer le CTA de réservation d'appel à la 70e minute du webinaire | Tester l'intégralité du tunnel avant lancement | Connecter une source de trafic (liste email, SEO ou ads) | Optimiser : taux de visionnage >50% et taux de conversion sur 2 semaines"
22,PLF-Video,Video Launch Formula (4 vidéos de valeur → ouverture programme),hybrid,opt-in série 4 vidéos gratuites,full,1000,5000,5,15,83,750,10,30,2,6,1,1.5,2.17,18.5,30,65,10,10,25,medium,False,False,True,True,False,True,True,True,False,True,False,False,oui,non,non,peu,0,6,False,True,Jeff Walker PLF/AutoGrow #4/Ryan Lee 2026,"Formule de lancement 4 vidéos (Jeff Walker PLF). V1 : l'opportunité. V2 : le chemin (méthode). V3 : preuves + objections. V4 : l'offre. 7–10 jours entre opt-in et ouverture panier → fermeture 5–7 jours. Conv 2–6% des opt-ins. Application langues : '4 secrets pour doubler tes réservations iTalki'. Avantage vs webinaire : pas de live, productible à son rythme. Ramp 10 sem = production des 4 vidéos + séquence email.","Définir la promesse du lancement liée au programme à vendre | Créer la page opt-in (titre = promesse + 4 vidéos gratuites) | Filmer vidéo 1 (20–25 min) : l'opportunité — pourquoi maintenant | Filmer vidéo 2 (20–25 min) : le chemin — ta méthode étape par étape | Filmer vidéo 3 (20–25 min) : preuves + répondre aux 3 objections principales | Filmer vidéo 4 (15–20 min) : révéler l'offre complète + bonus + date de fermeture | Rédiger la séquence email (2–3 emails par vidéo + 3 emails de closing) | Ouvrir le panier le jour de la vidéo 4 (7 jours d'ouverture max) | Closing : urgence J-3, J-1, J0 minuit | Analyser le taux de complétion par vidéo pour identifier les points de friction"
23,SLO-Tripwire,SLO / Tripwire (atelier €47–97 auto-finance les ads → backend programme),paid,achat mini-offre (€47–97),full,1000,3000,15,35,50,200,5,10,3,10,1,1.5,1.58,9.7,15,30,8,20,30,medium,True,False,True,False,False,True,True,True,False,True,False,False,peu,non,non,peu,200,5,False,True,SalesflowCo/DotCom Secrets/AutoGrow 2026,Formule SLO (Self-Liquidating Offer) : AOV ≥ CPA = acquisition quasi-gratuite. Ads → LP froide → mini-offre €47–97 (atelier enregistré) → order bump €27 + OTO €197 → liste email → backend programme €1500–2500. 2 bumps + 1 OTO = +100% AOV moyen. Application langues : 'Atelier accent authentique 7j à €47' → 15–20% prennent l'OTO → 3–5% backend. CAC affiché = coût brut avant revenus SLO (net ≈ 0 si AOV ≥ CPA). Ramp 8 sem = optimisation AOV vs CPA avant scale.,"Créer la mini-offre SLO (atelier vidéo enregistré €47–97) : 1 résultat concret en 1–3h | Créer la page de vente froide (1 page) : headline résultat + preuve + bouton acheter | Configurer l'order bump (€27) sur la page de paiement : ressource complémentaire | Créer l'OTO (One Time Offer, €97–197) affiché après l'achat : bonus ou accès communauté | Rédiger la séquence email post-achat : valeur → confiance → invitation appel backend | Lancer les ads Meta ou YouTube à €10–20/jour vers la LP froide | Mesurer l'AOV moyen sur 14 jours (objectif : AOV ≥ CPA) | Si AOV < CPA : améliorer le taux de bump ou augmenter le prix SLO | Si AOV ≥ CPA : scaler le budget ads progressivement | Proposer le programme premium aux acheteurs SLO par email + call de découverte"
